wl_home,fga_home,fg_pct_home,fg3a_home,fg3_pct_home,fta_home,ft_pct_home,oreb_home,dreb_home,stl_home,blk_home,tov_home,fga_away,fg_pct_away,fg3a_away,fg3_pct_away,fta_away,ft_pct_away,oreb_away,dreb_away,stl_away,blk_away,tov_away
W,79,0.468,19,0.316,39,0.923,15,33,7,3,13,78,0.487,33,0.455,28,0.714,5,26,3,5,11
W,76,0.526,35,0.543,10,0.7,5,39,2,5,15,83,0.446,31,0.323,20,0.75,8,29,9,3,7
W,88,0.489,28,0.357,21,0.762,9,42,11,7,17,87,0.402,32,0.281,27,0.704,7,32,11,4,16
L,86,0.547,22,0.455,28,0.857,15,29,4,7,19,92,0.5,30,0.333,30,0.933,10,21,10,4,9
L,85,0.576,31,0.452,26,0.692,6,35,8,3,21,94,0.521,34,0.5,20,0.9,7,30,12,2,13
W,91,0.495,32,0.375,21,0.667,13,34,8,2,10,85,0.447,36,0.333,25,0.76,10,31,4,6,12
L,79,0.468,25,0.24,24,0.75,9,32,4,4,11,81,0.457,43,0.349,19,0.684,11,32,6,2,11
L,79,0.481,28,0.321,31,0.871,5,31,11,2,17,92,0.467,31,0.29,28,0.75,16,32,10,4,15
W,81,0.481,33,0.333,21,0.714,5,34,10,7,14,87,0.368,35,0.2,27,0.667,11,38,9,3,20
W,93,0.624,27,0.481,22,0.773,6,38,12,5,11,85,0.471,35,0.286,26,0.846,8,28,6,7,17
L,88,0.5,32,0.406,24,0.792,11,28,5,4,14,89,0.584,41,0.512,18,0.833,7,28,9,5,10
L,87,0.471,31,0.194,26,0.885,10,27,4,4,13,88,0.466,39,0.385,31,0.871,17,32,6,4,14
L,91,0.407,36,0.25,29,0.862,1,27,5,2,9,87,0.54,42,0.381,21,0.81,7,48,4,2,16
L,87,0.425,33,0.273,21,0.762,9,33,9,6,9,83,0.47,37,0.432,21,0.81,10,41,2,5,12
W,97,0.577,50,0.52,7,0.429,11,34,6,3,16,91,0.484,32,0.344,21,0.714,7,29,8,3,11
L,84,0.488,31,0.516,22,0.818,8,34,4,5,16,92,0.478,30,0.4,30,0.8,11,35,11,5,9
W,89,0.562,22,0.273,25,0.88,7,42,10,6,14,90,0.444,26,0.308,17,0.941,6,32,7,3,18
L,82,0.427,28,0.214,19,0.789,7,30,8,5,14,78,0.564,29,0.414,20,0.7,7,36,9,6,17
L,83,0.542,33,0.364,23,0.478,8,31,8,6,15,91,0.462,23,0.348,30,0.9,18,34,6,2,12
L,92,0.435,32,0.25,22,0.682,12,30,3,6,13,88,0.523,37,0.405,16,0.938,8,38,7,5,13
L,78,0.487,27,0.37,23,0.739,8,36,10,9,20,101,0.436,36,0.306,12,0.583,11,31,11,3,11
W,87,0.552,27,0.37,30,0.733,5,29,7,3,11,71,0.479,25,0.24,31,0.774,3,34,6,5,22
W,85,0.565,26,0.538,34,0.765,12,36,11,3,11,82,0.427,42,0.262,27,0.852,11,27,5,5,15
W,79,0.43,36,0.333,39,0.718,14,35,5,1,12,74,0.405,25,0.28,36,0.833,8,36,4,4,12
L,81,0.432,42,0.381,22,0.636,9,21,8,2,16,75,0.56,23,0.478,31,0.677,10,36,10,2,17
L,94,0.479,40,0.45,26,0.769,10,36,6,3,10,92,0.478,37,0.432,35,0.857,9,37,8,4,13
W,86,0.5,33,0.424,28,0.893,10,29,4,10,15,81,0.481,28,0.464,41,0.78,6,33,10,3,16
W,80,0.6,26,0.462,25,0.84,6,35,6,3,12,87,0.506,43,0.326,21,0.905,7,26,3,3,9
W,88,0.523,40,0.35,28,0.607,10,41,6,4,12,101,0.446,31,0.258,21,0.81,13,31,9,2,7
W,97,0.577,46,0.457,23,0.87,9,33,11,6,9,89,0.506,30,0.333,27,0.778,9,25,4,8,16
W,82,0.549,35,0.4,19,0.789,5,33,6,5,14,85,0.459,40,0.35,27,0.778,10,29,9,1,14
W,95,0.505,38,0.395,20,0.85,12,36,14,6,13,91,0.484,20,0.3,17,0.824,10,33,7,7,16
W,100,0.52,30,0.3,20,0.9,14,34,6,0,11,94,0.479,32,0.344,33,0.758,13,31,4,3,9
L,87,0.46,44,0.364,28,0.857,12,29,7,7,20,85,0.529,23,0.522,38,0.658,13,29,11,3,17
W,86,0.512,32,0.438,23,0.696,12,39,7,3,23,90,0.444,34,0.265,30,0.767,8,29,16,2,14
L,89,0.584,21,0.333,15,0.933,9,26,8,0,18,87,0.529,27,0.481,41,0.78,14,25,11,3,11
L,80,0.5,21,0.333,33,0.727,6,34,5,4,13,90,0.456,39,0.385,27,0.741,13,30,9,7,9
L,75,0.387,38,0.263,31,0.839,3,40,5,3,15,95,0.432,32,0.375,14,0.857,10,43,6,6,9
L,84,0.5,33,0.364,22,0.909,9,32,4,3,11,88,0.489,41,0.415,23,0.913,11,27,5,2,7
W,89,0.449,41,0.415,14,0.714,9,38,13,5,18,86,0.43,38,0.342,20,0.85,11,38,6,5,20
L,91,0.451,44,0.295,18,0.722,13,37,4,2,15,95,0.463,37,0.27,23,0.739,14,38,8,5,9
W,91,0.538,29,0.483,22,0.727,9,32,12,7,16,87,0.471,23,0.435,22,0.955,11,33,8,5,18
W,85,0.435,41,0.341,29,0.793,6,30,10,3,8,84,0.5,20,0.25,21,0.81,12,38,6,5,17
W,90,0.567,35,0.457,21,0.762,7,31,10,2,13,85,0.506,38,0.5,19,0.632,10,32,4,4,17
L,93,0.484,41,0.39,6,0.833,6,40,8,6,16,92,0.457,22,0.273,31,0.71,13,38,8,5,13
